Sample ID,Spectrogram Rating,Audio Rating,LLM Rating
sample_1,1,1,1
sample_3,3,3,3
sample_7,3,3,3
sample_9,3,3,3
sample_18,3,3,3
sample_15,3,3,3
sample_15,3,3,3
sample_2,3,3,3
sample_13,3,3,3
sample_5,3,3,3
sample_2,3,3,3
sample_5,3,3,3
sample_3,3,3,3
sample_19,3,3,3
sample_8,3,3,3
sample_7,3,3,3
sample_1,3,3,3
sample_5,3,3,3
sample_14,3,3,3
sample_18,3,3,3
sample_1,LIME,3,3,3
sample_1,SHAP,3,3,3
sample_1,GradCAM,3,3,3
sample_15,LIME,3,3,3
sample_15,SHAP,3,3,3
sample_15,GradCAM,3,3,3
sample_6,LIME,3,3,3
sample_6,SHAP,3,3,3
sample_6,GradCAM,3,3,3
